Model ID,12,24,36,48,60,72,96,120
OFCL,5.6,7.4,7.5,9.5,9.8,9.4,11.0,10.1
OCD5,7.2,10.7,12.8,14.8,16.8,16.9,17.4,17.6
HWFI,6.5,8.5,9.6,11.7,13.1,12.8,12.9,11.2
HMNI,6.6,8.5,8.8,10.7,11.3,11.8,10.8,10.8
CTCI,6.7,8.3,9.7,11.1,12.6,14.1,17.0,15.3
DSHP,6.7,9.4,9.9,11.2,12.4,12.5,13.2,13.6
LGEM,6.9,9.7,10.4,11.6,12.6,12.3,14.6,17.0
IVCN,5.9,7.6,7.8,8.9,9.9,9.8,9.8,9.2
FSSE,5.9,7.4,7.7,8.5,9.8,9.9,12.2,14.1
HCCA,5.9,7.5,7.9,8.3,9.3,9.4,9.7,9.7
GFSI,7.0,9.6,10.4,11.4,12.9,13.8,15.4,19.2
EMXI,8.4,12.6,13.8,15.3,17.3,16.8,14.0,14.3
NNIC,6.0,7.9,8.2,9.9,12.0,12.3,12.5,13.5
Forecasts,207,186,169,150,133,116,86,61
