,AL022019
lat,"[29.956241124868395, 30.0724679350853, 30.754833891987804, 31.562176847457888, 32.34326710700989]"
lon,"[-90.54235568046569, -92.41731076240539, -93.34300360679626, -93.99158220291137, -93.49510188102721]"
name,AL022019
times,"[Timestamp('2019-07-13 21:00:00+0000', tz='UTC'), Timestamp('2019-07-14 03:00:00+0000', tz='UTC'), Timestamp('2019-07-14 09:00:00+0000', tz='UTC'), Timestamp('2019-07-14 15:00:00+0000', tz='UTC'), Timestamp('2019-07-14 21:00:00+0000', tz='UTC')]"
wind,"[60.46210706233978, 56.729114055633545, 53.55706751346588, 54.878186881542206, 58.23336660861969]"
