,AL022019
lat,"[28.47542005479336, 30.169500756263737, 30.37688090205193, 30.54543368518353, 30.989337831735615]"
lon,"[-27.47941303253173, -24.7675603866577, -20.15013885498046, -15.807575798034655, -12.101338005065905]"
name,AL022019
times,"[Timestamp('2019-07-13 21:00:00+0000', tz='UTC'), Timestamp('2019-07-14 03:00:00+0000', tz='UTC'), Timestamp('2019-07-14 09:00:00+0000', tz='UTC'), Timestamp('2019-07-14 15:00:00+0000', tz='UTC'), Timestamp('2019-07-14 21:00:00+0000', tz='UTC')]"
wind,"[53.307711482048035, 33.38483154773712, 21.106268763542175, 12.75205135345459, 8.550664186477661]"
