,AL022019
lat,[]
lon,[]
name,AL022019
times,"[Timestamp('2019-07-13 21:00:00+0000', tz='UTC'), Timestamp('2019-07-14 03:00:00+0000', tz='UTC'), Timestamp('2019-07-14 09:00:00+0000', tz='UTC'), Timestamp('2019-07-14 15:00:00+0000', tz='UTC'), Timestamp('2019-07-14 21:00:00+0000', tz='UTC')]"
wind,"[76.22146129608154, 71.13756120204926, 58.58662188053131, 52.178433164954185, 43.82118463516235]"
