,WindTruth,LatTruth,LonTruth,Mpredict_Wind,Mpredict_Lat,Mpredict_Lon,Upredict_Wind,Upredict_Lat,Upredict_Lon,Mdiff_Wind,Mdiff_Lat,Mdiff_Lon,Udiff_Wind,Udiff_Lat,Udiff_Lon
0,60.0,28.9,-91.5,65.40526926517487,28.925604659318925,-91.39771339297295,TODO,TODO,TODO,-5.405269265174866,-0.025604659318926082,-0.10228660702705383,TODO,TODO,TODO
1,65.0,29.3,-91.9,62.569671869277954,30.378390350937845,-92.52008725702763,TODO,TODO,TODO,2.430328130722046,-1.0783903509378447,0.6200872570276204,TODO,TODO,TODO
2,N/A,N/A,N/A,50.90182684361935,31.85821119248867,-92.32417527139188,TODO,TODO,TODO,N/A,N/A,N/A,TODO,TODO,TODO
3,N/A,N/A,N/A,40.323904156684875,32.619931453466414,-92.37896239161492,TODO,TODO,TODO,N/A,N/A,N/A,TODO,TODO,TODO
4,N/A,N/A,N/A,34.642953276634216,33.00121924877167,-93.96054135262966,TODO,TODO,TODO,N/A,N/A,N/A,TODO,TODO,TODO
