,WindTruth,LatTruth,LonTruth,Mpredict_Wind,Mpredict_Lat,Mpredict_Lon,Upredict_Wind,Upredict_Lat,Upredict_Lon,Mdiff_Wind,Mdiff_Lat,Mdiff_Lon,Udiff_Wind,Udiff_Lat,Udiff_Lon
0,45.0,27.9,-89.7,44.73836421966553,28.627157264947893,-90.7553619146347,TODO,TODO,TODO,0.26163578033447266,-0.7271572649478948,1.0553619146347017,TODO,TODO,TODO
1,50.0,28.1,-90.2,48.05552653968334,29.832666179537775,-90.82869516313076,TODO,TODO,TODO,1.944473460316658,-1.7326661795377731,0.6286951631307574,TODO,TODO,TODO
2,55.0,28.4,-90.7,46.41106262803078,30.52220079600811,-90.38156591057778,TODO,TODO,TODO,8.588937371969223,-2.122200796008112,-0.31843408942222595,TODO,TODO,TODO
3,60.0,28.6,-91.1,40.48290550708771,30.756486535072327,-90.13448047339917,TODO,TODO,TODO,19.517094492912292,-2.1564865350723252,-0.9655195266008292,TODO,TODO,TODO
4,60.0,28.9,-91.5,34.16908919811249,30.7772646099329,-91.25432409644128,TODO,TODO,TODO,25.830910801887512,-1.877264609932901,-0.2456759035587197,TODO,TODO,TODO
