,AL022019
lat,"[30.199227616190914, 26.056183954700828, 20.985030823945998, 12.470223051309583, 6.267874586582181]"
lon,"[-15.27218570709227, -14.250032043457018, -12.292288398742663, -8.310098648071282, -5.801261901855462]"
name,AL022019
times,"[Timestamp('2019-07-13 21:00:00+0000', tz='UTC'), Timestamp('2019-07-14 03:00:00+0000', tz='UTC'), Timestamp('2019-07-14 09:00:00+0000', tz='UTC'), Timestamp('2019-07-14 15:00:00+0000', tz='UTC'), Timestamp('2019-07-14 21:00:00+0000', tz='UTC')]"
wind,"[47.188015803694725, 32.28691756725311, 29.524313807487488, 22.996680736541748, 16.411365866661072]"
