,AL022019
lat,"[29.46773405969143, 29.620571705698968, 30.305815610289574, 31.257174426317217, 32.21983919143677]"
lon,"[-93.69925022721291, -94.90563011169434, -95.39763413071633, -95.77353306114674, -94.90309314131737]"
name,AL022019
times,"[Timestamp('2019-07-13 21:00:00+0000', tz='UTC'), Timestamp('2019-07-14 03:00:00+0000', tz='UTC'), Timestamp('2019-07-14 09:00:00+0000', tz='UTC'), Timestamp('2019-07-14 15:00:00+0000', tz='UTC'), Timestamp('2019-07-14 21:00:00+0000', tz='UTC')]"
wind,"[67.62297689914703, 62.141490280628204, 54.616495221853256, 46.27060182392597, 40.88735222816467]"
