,AL022019
lat,"[29.753050205111506, 31.275808849930765, 33.07341299057007, 33.90215793848038, 33.85305340886116]"
lon,"[-92.15398291647435, -93.35429627895356, -93.77303434312344, -93.50087865889073, -93.47411597669125]"
name,AL022019
times,"[Timestamp('2019-07-13 21:00:00+0000', tz='UTC'), Timestamp('2019-07-14 03:00:00+0000', tz='UTC'), Timestamp('2019-07-14 09:00:00+0000', tz='UTC'), Timestamp('2019-07-14 15:00:00+0000', tz='UTC'), Timestamp('2019-07-14 21:00:00+0000', tz='UTC')]"
wind,"[71.9133186340332, 67.80847132205963, 55.580920577049255, 42.97394588589668, 38.33291918039322]"
