,AL022019
lat,"[8.383500683307645, 28.32465020120144, 46.125175154209145, 35.406361484527594, 30.625568312406543]"
lon,"[-62.25233016908169, -84.00044131278992, -93.86143913269042, -73.55873336791991, -61.91614610552788]"
name,AL022019
times,"[Timestamp('2019-07-13 21:00:00+0000', tz='UTC'), Timestamp('2019-07-14 03:00:00+0000', tz='UTC'), Timestamp('2019-07-14 09:00:00+0000', tz='UTC'), Timestamp('2019-07-14 15:00:00+0000', tz='UTC'), Timestamp('2019-07-14 21:00:00+0000', tz='UTC')]"
wind,"[19.891274571418762, 50.93420013785362, 77.4228823184967, 72.71888673305511, 70.62253475189209]"
