,AL122005
lat,"[36.62476341724396, 40.70415304899216, 35.87470368146897, 31.84732976853848, 31.24604965746403]"
lon,"[-87.91640095710754, -89.72558341026306, -81.33114709854125, -75.69491837024688, -75.7042892217636]"
name,AL122005
times,"[Timestamp('2005-08-30 06:00:00+0000', tz='UTC'), Timestamp('2005-08-30 12:00:00+0000', tz='UTC'), Timestamp('2005-08-30 18:00:00+0000', tz='UTC'), Timestamp('2005-08-31 00:00:00+0000', tz='UTC'), Timestamp('2005-08-31 06:00:00+0000', tz='UTC')]"
wind,"[103.54259848594666, 108.28712224960327, 102.69785284996033, 96.37583613395691, 91.57651662826538]"
