,AL022019
lat,"[31.723131811618806, 36.39148473739624, 40.96710565090179, 44.37895727157593, 49.06435756683349]"
lon,"[-83.42635692358017, -76.93636923134326, -67.66656387746335, -60.40606838092208, -56.00978919006884]"
name,AL022019
times,"[Timestamp('2019-07-13 21:00:00+0000', tz='UTC'), Timestamp('2019-07-14 03:00:00+0000', tz='UTC'), Timestamp('2019-07-14 09:00:00+0000', tz='UTC'), Timestamp('2019-07-14 15:00:00+0000', tz='UTC'), Timestamp('2019-07-14 21:00:00+0000', tz='UTC')]"
wind,"[71.1857607960701, 72.46077120304108, 72.1119835972786, 45.17565234564245, 40.82401182502508]"
