,AL122005
lat,"[31.500245782732968, 40.190513753891, 39.40156486034394, 44.1194199204445, 52.14816862344743]"
lon,"[-81.5683678150177, -87.81786475181579, -78.2767255783081, -74.30116367340088, -76.78793363571167]"
name,AL122005
times,"[Timestamp('2005-08-31 12:00:00+0000', tz='UTC'), Timestamp('2005-08-31 18:00:00+0000', tz='UTC'), Timestamp('2005-09-01 00:00:00+0000', tz='UTC'), Timestamp('2005-09-01 06:00:00+0000', tz='UTC'), Timestamp('2005-09-01 12:00:00+0000', tz='UTC')]"
wind,"[97.53833770751953, 107.15755462646484, 100.36240339279175, 93.6590051651001, 89.89026546478271]"
