,AL022019
lat,"[28.017787377536298, 29.185715699195864, 28.700452934205536, 28.925130598247055, 29.09819783419371]"
lon,"[-84.85297865867614, -87.0176992893219, -85.87407231330872, -84.69803137779235, -85.69601311683654]"
name,AL022019
times,"[Timestamp('2019-07-13 21:00:00+0000', tz='UTC'), Timestamp('2019-07-14 03:00:00+0000', tz='UTC'), Timestamp('2019-07-14 09:00:00+0000', tz='UTC'), Timestamp('2019-07-14 15:00:00+0000', tz='UTC'), Timestamp('2019-07-14 21:00:00+0000', tz='UTC')]"
wind,"[55.05124121904373, 53.06892782449722, 45.13542987406254, 37.175297141075134, 32.366700768470764]"
